City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,akureyri,65.6835,-18.0878,-5.639999999999986,74,20,3.09,IS,1675822478
106,sisimiut,66.9395,-53.6735,-26.169999999999987,93,100,2.15,GL,1675822183
107,benguela,-12.5763,13.4055,22.420000000000016,77,100,1.66,AO,1675822028
108,los llanos de aridane,28.6585,-17.9182,11.259999999999991,62,0,3.6,ES,1675822478
109,belaya gora,68.5333,146.4167,-41.650000000000006,98,72,1.3,RU,1675822478
110,lakes entrance,-37.8811,147.981,18.930000000000007,64,30,4.33,AU,1675822479
111,leh,34.1667,77.5833,-21.210000000000008,63,10,1.25,IN,1675822479
112,myrtle beach,33.6891,-78.8867,11.120000000000005,81,70,2.04,US,1675822480
113,paka,4.6374,103.4368,25.779999999999973,80,91,3.08,MY,1675822236
114,asau,46.4333,26.4,-6.089999999999975,97,97,1.97,RO,1675822300
115,laguna,38.421,-121.4238,12.0,67,100,1.59,US,1675822292
116,marfino,55.7028,37.3822,-7.4599999999999795,79,100,5.0,RU,1675822480
117,okhotsk,59.3833,143.3,-24.610000000000014,80,89,5.4,RU,1675822481
118,airai,-8.9266,125.4092,20.529999999999973,78,77,1.4,TL,1675822227
119,karasjok,69.4719,25.5112,-7.2099999999999795,84,54,5.16,NO,1675822463
120,swellendam,-34.0226,20.4417,17.160000000000025,89,86,3.34,ZA,1675822481
121,noumea,-22.2763,166.4572,31.620000000000005,99,97,4.59,NC,1675822242
122,gat,31.61,34.7642,8.779999999999973,100,63,9.37,IL,1675822314
123,esperance,-33.8667,121.9,20.829999999999984,66,88,4.91,AU,1675822117
124,tiksi,71.6872,128.8694,-36.71000000000001,99,100,2.49,RU,1675822191
125,ishim,56.1128,69.4902,-27.99000000000001,100,100,1.92,RU,1675822482
126,kodiak,57.79,-152.4072,-2.8700000000000045,50,0,7.2,US,1675822190
127,puerto ayora,-0.7393,-90.3518,25.819999999999993,92,52,3.13,EC,1675822155
128,andenes,69.3143,16.1194,3.8000000000000114,70,20,12.35,NO,1675822306
129,touros,-5.1989,-35.4608,25.220000000000027,72,100,5.36,BR,1675822343
130,lebu,-37.6167,-73.65,14.370000000000005,88,0,7.74,CL,1675822149
131,hithadhoo,-0.6,73.0833,26.69999999999999,72,13,3.58,MV,1675822152
132,sainte-rose,16.3324,-61.6979,22.420000000000016,88,75,4.12,GP,1675822483
133,rey bouba,8.6724,14.1786,21.470000000000027,19,10,0.79,CM,1675822483
134,chuy,-33.6971,-53.4616,20.899999999999977,80,27,3.3,UY,1675822258
135,bilibino,68.0546,166.4372,-37.03999999999999,98,100,1.0,RU,1675822335
136,birobidzhan,48.8,132.95,-18.819999999999993,66,7,2.31,RU,1675822484
137,emerald,-23.5333,148.1667,27.370000000000005,53,20,4.57,AU,1675822252
138,hue,16.4667,107.6,24.45999999999998,88,75,1.03,VN,1675822410
139,bengkulu,-3.8004,102.2655,26.70999999999998,63,74,2.39,ID,1675822314
140,yungay,-9.1383,-77.7436,14.269999999999982,93,83,1.43,PE,1675822484
141,tadine,-21.55,167.8833,27.230000000000018,74,100,4.8,NC,1675822485
142,burnie,-41.0667,145.9167,16.029999999999973,74,99,3.84,AU,1675822485
143,nikolskoye,59.7035,30.7861,-1.660000000000025,86,100,4.5,RU,1675822251
144,sao gabriel da cachoeira,-0.1303,-67.0892,22.019999999999982,98,100,0.27,BR,1675822486
145,lavrentiya,65.5833,-171.0,-26.319999999999993,92,97,1.24,RU,1675822270
146,pangnirtung,66.1451,-65.7125,-34.370000000000005,84,6,2.35,CA,1675822486
147,biak,-0.9131,122.8766,25.149999999999977,80,100,2.61,ID,1675822486
148,kruisfontein,-34.0033,24.7314,18.220000000000027,83,100,1.85,ZA,1675822239
149,bairiki,1.3292,172.9752,29.399999999999977,66,40,6.69,KI,1675822351
150,wanning,18.8003,110.3967,24.060000000000002,81,24,3.51,CN,1675822347
151,chumikan,54.7183,135.315,-27.639999999999986,76,62,5.76,RU,1675822345
152,kloulklubed,7.0419,134.2556,28.680000000000007,76,100,8.03,PW,1675822238
153,narsaq,60.9167,-46.05,-20.47999999999999,63,0,3.6,GL,1675822150
154,constitucion,-35.3333,-72.4167,14.769999999999982,71,0,4.13,CL,1675822189
155,yashkul,46.1711,45.3435,-6.8799999999999955,95,100,8.48,RU,1675822487
156,nelson bay,-32.7167,152.15,27.430000000000007,66,60,5.76,AU,1675822265
157,wawa,9.9022,4.4192,25.600000000000023,23,41,2.31,NG,1675822146
158,vila velha,-20.3297,-40.2925,26.370000000000005,89,40,3.6,BR,1675822081
159,avarua,-21.2078,-159.775,28.430000000000007,74,28,5.14,CK,1675822068
160,vanimo,-2.6741,141.3028,24.620000000000005,95,100,3.6,PG,1675822336
161,sioux lookout,50.1001,-91.917,-14.430000000000007,97,47,1.97,CA,1675822134
162,saskylakh,71.9167,114.0833,-34.50999999999999,100,100,0.32,RU,1675822269
163,biscarrosse,44.3945,-1.1672,3.3700000000000045,70,0,3.09,FR,1675822488
164,salalah,17.0151,54.0924,19.44999999999999,52,0,3.09,OM,1675822231
165,rocha,-34.4833,-54.3333,19.55000000000001,85,6,3.33,UY,1675822489
166,najran,17.4924,44.1277,15.759999999999991,69,3,2.68,SA,1675822489
167,ponta do sol,32.6667,-17.1,15.350000000000023,68,36,3.46,PT,1675822297
168,edea,3.8,10.1333,23.319999999999993,95,42,0.37,CM,1675822490
169,wasilla,61.5814,-149.4394,-3.180000000000007,78,100,1.54,US,1675822490
170,alice springs,-23.7,133.8833,33.14999999999998,40,0,5.66,AU,1675822015
171,tingi,-11.3,35.0333,16.430000000000007,91,100,0.2,TZ,1675822229
172,khash,28.2211,61.2158,10.620000000000005,53,18,3.65,IR,1675822491
173,erenhot,43.6475,111.9767,-8.920000000000016,58,100,1.64,CN,1675822491
174,tautira,-17.7333,-149.15,26.120000000000005,61,5,2.11,PF,1675822250
175,praia da vitoria,38.7333,-27.0667,12.04000000000002,77,100,5.07,PT,1675822349
176,carutapera,-1.195,-46.02,23.80000000000001,93,100,1.86,BR,1675822250
177,irituia,-1.7711,-47.4381,22.230000000000018,98,100,0.95,BR,1675822492
178,dakar,14.6937,-17.4441,18.889999999999986,76,96,9.06,SN,1675822492
179,kodinsk,58.6881,99.1844,-14.129999999999995,96,100,1.3,RU,1675822492
180,oranjemund,-28.55,16.4333,16.819999999999993,89,98,7.84,NA,1675822364
181,sovetskiy,61.3614,63.5842,-21.620000000000005,100,100,2.49,RU,1675822493
182,vardo,70.3705,31.1107,-1.6100000000000136,80,8,9.26,NO,1675822493
183,umuarama,-23.7664,-53.325,22.05000000000001,62,45,1.72,BR,1675822494
184,twentynine palms,34.1356,-116.0542,13.269999999999982,25,0,3.27,US,1675822494
185,east london,-33.0153,27.9116,20.889999999999986,84,100,5.18,ZA,1675822148
186,woodland,38.6785,-121.7733,12.389999999999986,65,40,0.0,US,1675822494
187,sitka,57.0531,-135.33,2.339999999999975,81,100,0.0,US,1675822495
188,platanos,37.6667,21.6167,4.449999999999989,66,59,2.66,GR,1675822495
189,butaritari,3.0707,172.7902,26.589999999999975,81,100,9.8,KI,1675822056
190,omboue,-1.5746,9.2618,24.480000000000018,88,100,2.22,GA,1675822337
191,bay city,43.5945,-83.8889,2.7900000000000205,76,100,4.12,US,1675822496
192,dryden,49.7833,-92.7503,-7.439999999999998,68,20,2.57,CA,1675822496
193,kavieng,-2.5744,150.7967,26.99000000000001,79,99,4.0,PG,1675822163
194,kieta,-6.2167,155.6333,29.120000000000005,69,34,3.92,PG,1675822194
195,kingman,35.1894,-114.053,10.110000000000014,36,0,4.63,US,1675822261
196,mount gambier,-37.8333,140.7667,21.879999999999995,44,18,4.76,AU,1675822284
197,morro bay,35.3658,-120.8499,13.980000000000018,74,100,0.45,US,1675822497
198,san patricio,28.017,-97.5169,22.370000000000005,80,94,6.22,US,1675822154
199,ilo,-17.6394,-71.3375,22.399999999999977,85,70,1.95,PE,1675822498
